"PROJECT_CYCLE" "VESSEL" "BEST_DEPTH_TYPE" "BEST_LAT_DD" "BEST_LON_DD" "AREA_SWEPT_HA" "HAUL_WT_KG"
"Cycle 2011" "vessel_i" "Bottom Depth" 37.0365370487475 -122.547093358818 1.63398741705194 3.85134911817577
"Cycle 2011" "vessel_i" "Bottom Depth" 34.2905691307945 -120.638707245385 1.85630648800493 0.961898614416809
"Cycle 2011" "vessel_i" "Bottom Depth" 38.14689625 -123.16326 2.13542121028166 1.53063320386616
"Cycle 2011" "vessel_i" "Bottom Depth" 36.5774799983895 -122.015825013396 1.30650945178009 0.822448927285369
"Cycle 2011" "vessel_i" "Bottom Depth" 36.1980549522385 -121.98295307654 1.94639379889943 46.1957297766201
"Cycle 2011" "vessel_k" "Bottom Depth" 45.2430631264885 -124.333801754621 1.15493411125265 23.3964083420063
"Cycle 2003" "vessel_c" "Bottom Depth" 46.7550375000005 -124.542808333334 1.72842875970712 3.71638180021584
"Cycle 2011" "vessel_k" "Bottom Depth" 43.878684591029 -124.988053869317 2.05229601345901 20.9475143112343
"Cycle 2011" "vessel_k" "Bottom Depth" 43.6677475 -124.582330833333 1.58500958852262 13.5343562565806
"Cycle 2011" "vessel_k" "Bottom Depth" 43.6538200542895 -124.34348434979 1.7633952026546 1.20776542841987
"Cycle 2003" "vessel_b" "Bottom Depth" 45.2972030639645 -124.566467285156 2.29653629029053 17.2213776153584
"Cycle 2011" "vessel_k" "Bottom Depth" 42.731296298499 -124.708910588277 1.4499582720897 0.121759346577391
"Cycle 2003" "vessel_b" "Bottom Depth" 43.4430675506595 -124.876800537109 2.50596866369238 37.2152211259095
"Cycle 2003" "vessel_b" "Bottom Depth" 40.2000675201415 -124.509262084961 1.64887275353879 15.6658542596884
"Cycle 2003" "vessel_b" "Bottom Depth" 39.734449386597 -124.057125091553 1.80507992309628 1.62445128108858
"Cycle 2011" "vessel_k" "Bottom Depth" 44.615286267113 -124.905577613837 1.35233816999034 16.6016475582979
"Cycle 2011" "vessel_k" "Bottom Depth" 44.585945768295 -124.852535034214 1.59322682037517 29.9595916856655
"Cycle 2003" "vessel_i" "Bottom Depth" 40.5142708333335 -124.646558333334 1.74496422300377 15.091095599437
"Cycle 2003" "vessel_e" "Bottom Depth" 46.4394333333335 -124.641175 1.42273448485451 50.6277980430041
"Cycle 2003" "vessel_e" "Bottom Depth" 36.3158833333335 -122.222425 2.20991881795222 6.60921319020248
"Cycle 2003" "vessel_i" "Bottom Depth" 37.2340145111085 -122.813968658447 1.69561302864684 9.07214615098032
"Cycle 2003" "vessel_i" "Bottom Depth" 35.5074768066405 -121.133148193359 1.67398777665091 0.111404778729739
"Cycle 2003" "vessel_i" "Bottom Depth" 35.045286178589 -121.037460327149 1.60141544413274 0.641726020864273
"Cycle 2003" "vessel_c" "Bottom Depth" 47.906269073486 -124.914909362793 1.69578381464451 0.618747604753078
"Cycle 2003" "vessel_e" "Bottom Depth" 48.1454666666665 -124.921604166667 1.43569344040173 2.17250345606928
"Cycle 2003" "vessel_c" "Bottom Depth" 46.761817932129 -125.078388214111 2.80278885947295 3.76810601467069
"Cycle 2003" "vessel_c" "Bottom Depth" 45.9224700927735 -124.159118652344 1.70256709840356 6.54589676875773
"Cycle 2003" "vessel_e" "Bottom Depth" 46.283116666667 -124.84585 2.48682933226633 5.28548563016235
"Cycle 2003" "vessel_e" "Bottom Depth" 46.1196365356445 -124.652664184571 1.88213211758644 13.7173574393103
"Cycle 2003" "vessel_e" "Bottom Depth" 46.043629166667 -124.946179166667 1.93079978543371 9.72724305287992
"Cycle 2003" "vessel_c" "Bottom Depth" 45.4498462677 -124.88094329834 1.89231467036373 10.2126902665046
"Cycle 2003" "vessel_i" "Bottom Depth" 48.292430877686 -125.440773010254 1.74892384244817 3.93406775151562
"Cycle 2003" "vessel_c" "Bottom Depth" 42.136651992798 -124.524528503418 1.97363754184707 42.4380452875972
"Cycle 2003" "vessel_i" "Bottom Depth" 48.126428604126 -124.957210540771 1.50513839737072 128.832262489734
"Cycle 2003" "vessel_i" "Bottom Depth" 47.2560291290285 -124.712738037109 1.60039445969341 15.4838925090341
"Cycle 2004" "vessel_e" "Bottom Depth" 45.695220947266 -124.562057495117 1.93545232490695 37.663287470738
"Cycle 2003" "vessel_e" "Bottom Depth" 42.9512519836425 -124.910167694092 1.89512215657032 67.6871174368977
"Cycle 2003" "vessel_i" "Bottom Depth" 45.999628067017 -124.985366821289 1.8784249161115 1.93714400009389
"Cycle 2004" "vessel_e" "Bottom Depth" 46.0313415527345 -124.561626434326 1.99525881055652 41.4877868249557
"Cycle 2003" "vessel_c" "Bottom Depth" 41.620481491089 -124.828197479248 2.33320198613536 2.11873747551271
"Cycle 2003" "vessel_i" "Bottom Depth" 45.2581195831295 -124.824493408203 1.64348373497095 11.8758395591029
"Cycle 2003" "vessel_c" "Bottom Depth" 40.3024768829345 -124.555953979493 2.94487906723806 38.6558791636329
"Cycle 2003" "vessel_e" "Bottom Depth" 42.059633255005 -124.587123870849 1.58251614233755 12.3848413543815
