"FID_1,N,9,0","Id,N,6,0","FID_2,N,9,0","AREA,N,13,11","PERIMETER,N,13,11","AREA_KM2,N,19,11","PERIMETER_,N,19,11","STRATUM,N,14,0","STATION,C,8","LONGITUDE,N,19,11","LATITUDE,N,19,11"
17547,0,22423,25220400,20190.3,25.22057,20.1903476563,10,25-23,-167.902208833,53.2302431166
17572,0,22440,21912700,20226.7,21.912672,20.2267363281,111,42-27,-166.543723411,53.3952396196
17542,0,22446,25242000,20200.2,25.242132,20.2001875,10,22-22,-168.172532403,53.195236222
17548,0,22452,25067600,20123,25.067612,20.1229726562,10,26-23,-167.84808767,53.2371644924
17560,0,22454,25080600,20123.7,25.080632,20.1237167969,10,34-25,-167.197195253,53.3181350035
17573,0,22458,25093200,20124.4,25.093086,20.1243339844,111,43-27,-166.48915448,53.4014898474
17574,0,22458,25093200,20124.4,25.093086,20.1243339844,111,43-27,-166.434568477,53.4077130728
17568,0,22470,20513800,19180.3,20.513904,19.1803730469,10,39-26,-166.761827112,53.3699689195
17543,0,22472,25088800,20132.6,25.088672,20.1325917969,10,23-22,-168.118505528,53.2022908936
17561,0,22475,25049400,19981.6,25.049372,19.9815351563,10,35-25,-167.142836262,53.3247083348
17562,0,22475,25049400,19981.6,25.049372,19.9815351563,10,35-25,-167.088459419,53.331254807
17549,0,22477,25062700,20120.8,25.062636,20.1207949219,10,27-23,-167.793947835,53.2440591708
17550,0,22477,25062700,20120.8,25.062636,20.1207949219,10,27-23,-167.739789391,53.2509271391
17555,0,22483,20244900,20155.6,20.244876,20.1556386719,10,31-24,-167.468720223,53.2848658874
17556,0,22483,20244900,20155.6,20.244876,20.1556386719,10,31-24,-167.41445144,53.2915733309
17575,0,22484,25088600,20122.4,25.088714,20.1224140625,111,44-27,-166.379965468,53.4139092842
17569,0,22488,10709800,13010.3,10.709814,13.0103339844,10,40-26,-166.707327121,53.3763270393
17544,0,22489,25084100,20130.6,25.083982,20.1305390625,10,24-22,-168.064459672,53.2093189317
17545,0,22489,25084100,20130.6,25.083982,20.1305390625,10,24-22,-168.010394896,53.2163203235
17563,0,22491,18108000,19222,18.107806,19.2219511719,10,36-25,-167.034064791,53.3377744079
17551,0,22492,21162700,20824.6,21.162726,20.8247050781,10,28-23,-167.6856124,53.2577683846
17553,0,22493,4632580,8979.57,4.632547,8.9795283203,10,29-24,-167.577203028,53.2713706569
17557,0,22495,25074100,20123.3,25.07394,20.1232597656,10,32-24,-167.360164488,53.2982539765
17539,0,22502,12866300,20415.9,12.866292,20.4157636719,10,20-21,-168.334498527,53.1739125355
17576,0,22503,21428100,18661.5,21.42811,18.6615546875,111,45-27,-166.32534552,53.4200784699
16840,0,22509,25079700,20131,25.079562,20.1309570312,10,21-21,-168.268748996,53.1484405638
17540,0,22509,25079700,20131,25.079562,20.1309570312,10,21-21,-168.280528964,53.1810470299
16871,0,22510,25002300,20090.8,25.002208,20.09078125,111,41-26,-166.587810944,53.3561985798
17570,0,22510,25002300,20090.8,25.002208,20.09078125,111,41-26,-166.652809797,53.3826582038
17571,0,22510,25002300,20090.8,25.002208,20.09078125,111,41-26,-166.598275206,53.3889624012
16884,0,22513,21025400,18380.5,21.025432,18.3804707031,210,50-28,-165.877883725,53.4356331456
16846,0,22515,25241800,20200.1,25.241654,20.2000078125,10,25-22,-167.944782623,53.1906567742
17546,0,22515,25241800,20200.1,25.241654,20.2000078125,10,25-22,-167.956311263,53.223295056
17564,0,22516,15655700,16874,15.65563,16.874046875,10,37-25,-166.979652441,53.3442671253
17565,0,22516,15655700,16874,15.65563,16.874046875,10,37-25,-166.925222433,53.3507329472
16858,0,22517,25222400,20188.6,25.222158,20.188484375,10,33-24,-167.294838296,53.2722078416
16859,0,22517,25222400,20188.6,25.222158,20.188484375,10,33-24,-167.240557775,53.2788298323
17558,0,22517,25222400,20188.6,25.222158,20.188484375,10,33-24,-167.30585943,53.304907812
17559,0,22517,25222400,20188.6,25.222158,20.188484375,10,33-24,-167.251536331,53.3115348251
16852,0,22522,19972400,20448.6,19.97255,20.4487207031,10,29-23,-167.620141239,53.2319134423
17566,0,22523,2314580,12432.1,2.31454175,12.4320830078,111,38-26,-166.870774832,53.3571718615
16872,0,22527,25192500,20070.4,25.19224,20.0702675781,111,42-26,-166.533302282,53.3624710169
16841,0,22528,25237400,20200.6,25.237208,20.2005058594,10,22-21,-168.214802042,53.1555431165
16842,0,22528,25237400,20200.6,25.237208,20.2005058594,10,22-21,-168.160836029,53.1626190793
17541,0,22528,25237400,20200.6,25.237208,20.2005058594,10,22-21,-168.226540235,53.1881549298
17567,0,22529,4726180,12667.9,4.726287,12.6679619141,111,39-26,-166.816309704,53.3635838562
16865,0,22532,9424990,19335.7,9.42492,19.3356894531,111,37-25,-166.914500257,53.3179982063
16866,0,22533,25075700,20121.6,25.075604,20.1215273438,111,38-25,-166.860095536,53.3244322273
16885,0,22534,20877800,17938.2,20.877768,17.9381953125,310,51-28,-165.823157969,53.4415540496
16847,0,22535,25088800,20132.7,25.088888,20.1326796875,10,26-22,-167.89072224,53.1975995947
16848,0,22535,25088800,20132.7,25.088888,20.1326796875,10,26-22,-167.836643169,53.2045157484
16860,0,22536,25074000,20123.3,25.073974,20.1232753906,10,34-24,-167.18625932,53.2854250065
16853,0,22537,23114000,20314.9,23.114016,20.3147949219,10,30-23,-167.565969658,53.2386960727
16854,0,22537,23114000,20314.9,23.114016,20.3147949219,10,30-23,-167.511779762,53.2454519607
16879,0,22540,23938100,19354.3,23.938094,19.3542949219,210,47-27,-166.151266655,53.4056222126
16880,0,22540,23938100,19354.3,23.938094,19.3542949219,210,47-27,-166.096623071,53.4116785501
16878,0,22541,18094000,18153.9,18.09392,18.1538769531,210,46-27,-166.205893605,53.3995388225
16873,0,22542,24013100,19407.8,24.012972,19.4077558594,111,43-26,-166.478776525,53.3687164821
16874,0,22542,24013100,19407.8,24.012972,19.4077558594,111,43-26,-166.424233738,53.3749349637
16843,0,22546,25084400,20133.1,25.084272,20.1330332031,10,23-21,-168.106851019,53.1696684394
16867,0,22547,25233600,20190.9,25.23347,20.1908886719,111,39-25,-166.80567333,53.3308393473
16868,0,22547,25233600,20190.9,25.23347,20.1908886719,111,39-25,-166.751233702,53.3372195545
16849,0,22548,25084200,20130.6,25.084294,20.1306484375,10,27-22,-167.782545471,53.2114052226
16861,0,22549,12297400,17271.6,12.297321,17.2716601563,10,35-24,-167.131942993,53.2919933522
16855,0,22552,25066700,20130,25.06667,20.1299472656,10,31-23,-167.457571615,53.252181094
16881,0,22554,18124600,19306.2,18.124682,19.30621875,210,48-27,-166.04196292,53.4177078234
16875,0,22555,11923200,16276.3,11.923057,16.2763212891,111,44-26,-166.369673987,53.3811264501
16869,0,22560,25080700,20123.7,25.08048,20.1236601563,111,40-25,-166.696776719,53.3435728368
16145,0,22561,25079800,20131,25.079824,20.1310546875,10,24-21,-167.987272426,53.1510511012
16844,0,22561,25079800,20131,25.079824,20.1310546875,10,24-21,-168.052847074,53.1766911837
16845,0,22561,25079800,20131,25.079824,20.1310546875,10,24-21,-167.998824255,53.1836872996
16839,0,22562,20689500,19897.6,20.689528,19.8976191406,10,20-20,-168.322676831,53.1413114341
16862,0,22563,12777800,15443.7,12.777937,15.4436845703,111,35-24,-167.07760886,53.2985348571
16163,0,22564,25222300,20188.5,25.222226,20.1885039062,111,36-24,-167.012466854,53.2723216071
16863,0,22564,25222300,20188.5,25.222226,20.1885039062,111,36-24,-167.023256983,53.3050495092
16882,0,22565,15599300,17080.4,15.599213,17.080375,210,49-27,-165.987286267,53.4237100213
16883,0,22565,15599300,17080.4,15.599213,17.080375,210,49-27,-165.93259318,53.4296851324
16151,0,22566,25241900,20200.1,25.241906,20.200109375,10,28-22,-167.662994927,53.1924366634
16850,0,22566,25241900,20200.1,25.241906,20.200109375,10,28-22,-167.728429208,53.2182680048
16851,0,22566,25241900,20200.1,25.241906,20.200109375,10,28-22,-167.674294444,53.2251040822
16157,0,22567,25067200,20122.8,25.067182,20.1227929688,10,32-23,-167.338055211,53.2328610578
