                      Estimate   Std. Error
ln_H_input       -8.398795e-02 1.271503e-01
ln_H_input       -1.083447e-01 1.450375e-01
beta1_t           2.829875e-01 4.781280e-01
beta1_t           6.674810e-01 4.739474e-01
beta1_t           7.390283e-01 4.457901e-01
beta1_t          -3.523741e-01 4.452157e-01
beta1_t           8.296417e-02 4.474025e-01
beta1_t          -1.721409e-01 4.447939e-01
beta1_t           7.929592e-01 4.472718e-01
logetaE1         -5.790205e-01 2.143186e-01
logetaO1         -1.955932e+00 1.102858e-01
logkappa1        -2.882610e+00 1.683178e-01
beta2_t           6.013464e+00 2.441945e-01
beta2_t           6.296491e+00 2.353348e-01
beta2_t           6.098600e+00 1.837500e-01
beta2_t           5.603555e+00 1.900211e-01
beta2_t           5.965541e+00 1.908200e-01
beta2_t           6.259483e+00 1.907735e-01
beta2_t           6.085855e+00 1.804340e-01
logetaE2         -1.098833e+00 7.149101e-02
logetaO2         -9.089382e-01 1.255474e-01
logkappa2        -2.390410e+00 1.213466e-01
logSigmaM         6.041216e-02 2.048108e-02
Omegainput1_s    -2.166733e+00 1.740166e+00
Omegainput1_s     1.011898e+00 1.707519e+00
Omegainput1_s     2.478546e+00 2.049202e+00
Omegainput1_s     3.775264e+00 1.804677e+00
Omegainput1_s    -9.160710e+00 2.917956e+00
Omegainput1_s    -1.458969e-01 1.838074e+00
Omegainput1_s     1.993419e+00 1.738527e+00
Omegainput1_s     2.277913e+00 1.997652e+00
Omegainput1_s     3.461081e+00 2.112098e+00
Omegainput1_s     3.443629e+00 2.034368e+00
Omegainput1_s    -5.567928e+00 2.101581e+00
Omegainput1_s     6.347098e+00 2.961222e+00
Omegainput1_s     3.788045e+00 2.427080e+00
Omegainput1_s    -5.403512e+00 2.385867e+00
Omegainput1_s     3.415498e+00 2.401441e+00
Omegainput1_s    -5.583179e+00 2.233643e+00
Omegainput1_s    -4.467611e+00 2.823660e+00
Omegainput1_s    -3.171103e+00 1.751611e+00
Omegainput1_s     1.188248e+00 1.810846e+00
Omegainput1_s    -2.688206e+00 1.981921e+00
Omegainput1_s     6.242376e+00 2.603595e+00
Omegainput1_s     2.111286e+00 1.915880e+00
Omegainput1_s     7.133321e-01 1.962864e+00
Omegainput1_s     4.480170e+00 2.080399e+00
Omegainput1_s    -6.798953e+00 2.336189e+00
Omegainput1_s     1.904795e+00 1.955272e+00
Omegainput1_s    -6.436762e+00 2.463374e+00
Omegainput1_s    -2.153474e+00 1.783297e+00
Omegainput1_s     3.869133e+00 2.126367e+00
Omegainput1_s    -3.553886e+00 1.964760e+00
Omegainput1_s     2.899593e+00 2.099707e+00
Omegainput1_s     6.714170e+00 2.666852e+00
Omegainput1_s    -2.699196e+00 1.733523e+00
Omegainput1_s     9.315472e-01 1.831711e+00
Omegainput1_s    -7.932567e+00 2.411505e+00
Omegainput1_s     2.939881e+00 1.829661e+00
Omegainput1_s    -8.186168e+00 2.551851e+00
Omegainput1_s     7.586068e-01 2.310297e+00
Omegainput1_s    -4.521573e+00 2.071230e+00
Omegainput1_s     3.260103e+00 1.871330e+00
Omegainput1_s    -1.508658e+00 1.744404e+00
Omegainput1_s     1.393989e+00 1.946702e+00
Omegainput1_s     1.887471e+00 2.145731e+00
Omegainput1_s    -3.243010e+00 2.362515e+00
Omegainput1_s     2.383020e-01 1.669235e+00
Omegainput1_s     4.142883e-01 2.000968e+00
Omegainput1_s     3.868237e+00 1.909846e+00
Omegainput1_s    -1.581374e-01 1.586012e+00
Omegainput1_s     4.581759e+00 2.222368e+00
Omegainput1_s     5.105667e+00 2.178542e+00
Omegainput1_s    -7.790156e-01 1.769285e+00
Omegainput1_s    -2.436942e-01 1.742880e+00
Omegainput1_s     2.776181e+00 1.842247e+00
Omegainput1_s     3.867513e+00 1.881932e+00
Omegainput1_s    -6.924158e+00 3.223986e+00
Omegainput1_s    -6.240419e+00 2.608356e+00
Omegainput1_s    -1.724644e+00 2.258821e+00
Omegainput1_s    -4.664801e+00 2.003131e+00
Omegainput1_s    -3.552814e+00 1.836789e+00
Omegainput1_s     7.801707e-01 1.741245e+00
Omegainput1_s    -4.692855e+00 2.147937e+00
Omegainput1_s     1.615408e+00 1.971108e+00
Omegainput1_s     6.676722e+00 2.600280e+00
Omegainput1_s    -2.453156e+00 1.917412e+00
Omegainput1_s     1.705532e+00 1.956601e+00
Omegainput1_s    -9.963987e+00 3.304488e+00
Omegainput1_s    -6.157770e-01 1.552418e+00
Omegainput1_s    -1.933596e+00 1.642954e+00
Omegainput1_s    -2.199860e+00 1.842569e+00
Omegainput1_s    -1.391560e+00 1.602038e+00
Omegainput1_s    -1.501600e+00 2.043597e+00
Omegainput1_s     3.344365e+00 2.309676e+00
Omegainput1_s    -1.119022e+00 1.861849e+00
Omegainput1_s     5.193143e+00 2.087396e+00
Omegainput1_s     9.746302e-01 2.328193e+00
Omegainput1_s     3.081717e+00 2.202051e+00
Omegainput1_s     3.496161e+00 2.469702e+00
Omegainput1_s    -9.745247e-01 1.748962e+00
Omegainput1_s     5.451925e+00 2.224351e+00
Omegainput1_s    -2.592158e+00 1.929198e+00
Omegainput1_s     1.087488e-01 1.773678e+00
Omegainput1_s     2.030249e+00 1.837417e+00
Omegainput1_s    -7.555500e-01 1.803924e+00
Omegainput1_s    -7.001193e+00 2.622383e+00
Omegainput1_s    -2.646856e+00 1.981090e+00
Omegainput1_s    -1.647572e+00 2.005697e+00
Omegainput1_s     1.161718e+00 1.788333e+00
Omegainput1_s     4.784654e-01 1.729621e+00
Omegainput1_s    -4.218359e+00 1.809141e+00
Omegainput1_s     3.959595e-01 1.836424e+00
Omegainput1_s     4.562704e+00 1.988588e+00
Omegainput1_s    -8.887749e-01 1.570598e+00
Omegainput1_s     1.667051e+00 1.734832e+00
Omegainput1_s     3.176991e+00 2.024377e+00
Omegainput1_s     1.825740e+00 1.793707e+00
