sdreport(.) result
             Estimate Std. Error
beta1_t   -0.20142555 0.41116264
beta1_t   -0.35796265 0.40921434
beta1_t    0.35752774 0.43116858
beta1_t    0.03144232 0.44015264
beta1_t   -0.33458655 0.45910281
beta1_t    0.14425822 0.45621090
beta1_t   -0.80950183 0.45108595
beta1_t   -0.33511701 0.43967450
beta1_t   -1.00350236 0.42972670
beta1_t   -1.23061990 0.43446663
beta1_t   -1.10741886 0.43746460
beta1_t   -1.78625114 0.43863349
beta1_t   -1.66752343 0.44076658
beta1_t   -1.21639022 0.44690246
beta1_t   -0.97843000 0.44894057
beta1_t   -0.80611795 0.44671739
beta1_t   -0.74569405 0.44613307
beta1_t   -0.87589044 0.44937738
beta1_t   -0.76174439 0.45157962
beta1_t   -1.42585942 0.45734463
beta1_t   -1.45869580 0.44816039
beta1_t   -1.49820203 0.45123522
beta1_t   -1.21853152 0.45216256
beta1_t   -1.32968281 0.44935552
logetaE1   3.33965806 1.60721365
logetaO1  -0.11243213 0.14759166
logkappa1 -0.21028097 0.07906419
beta2_t    3.31292145 0.14864062
beta2_t    2.81941849 0.15084973
beta2_t    2.96243625 0.15375952
beta2_t    3.08858769 0.15680600
beta2_t    3.02992074 0.17770576
beta2_t    2.83222105 0.16114828
beta2_t    3.03649089 0.17557286
beta2_t    2.99401489 0.16831092
beta2_t    3.04158944 0.17397553
beta2_t    2.71523556 0.17215680
beta2_t    2.73190968 0.18193794
beta2_t    2.43340243 0.18617050
beta2_t    2.66556925 0.18342613
beta2_t    2.33206982 0.18063462
beta2_t    2.49297933 0.18302379
beta2_t    2.74940575 0.17580911
beta2_t    2.47983806 0.17071682
beta2_t    2.89368653 0.17435430
beta2_t    2.66855873 0.17951588
beta2_t    2.70402190 0.18706205
beta2_t    2.69280458 0.18227401
beta2_t    2.91432549 0.18613209
beta2_t    2.63779779 0.18523573
beta2_t    2.77588598 0.18620521
logetaE2   0.86750402 0.21710698
logetaO2   0.71950122 0.17112109
logkappa2 -0.44596870 0.09306501
logSigmaM -0.32993947 0.02429197
Maximum gradient component: 0.1995904 
