sdreport(.) result
              Estimate  Std. Error
ln_H_input  0.09840644 0.049383793
ln_H_input -0.63807910 0.066888527
beta1_t     4.05901893 0.763488019
beta1_t     4.25424770 0.765408865
beta1_t     4.29703850 0.760651444
beta1_t     5.25235224 0.827427221
beta1_t     5.48461326 0.849537660
beta1_t     4.00860447 0.748932335
beta1_t     5.08349666 0.806044734
beta1_t     4.19834906 0.752338102
beta1_t     4.29131041 0.754846780
beta1_t     6.12286147 0.912624604
beta1_t     4.50721612 0.769965966
beta1_t     5.36425309 0.826733428
beta1_t     5.74840756 0.863806123
beta1_t     4.90519718 0.786992535
beta1_t     5.11612040 0.802922469
beta1_t     4.77381575 0.779134220
beta1_t     5.07060960 0.805374736
beta1_t     6.31455435 0.950635736
beta1_t     5.20549717 0.818095557
beta1_t     5.81868701 0.875015834
beta1_t     4.77147704 0.778101549
beta1_t     4.55897691 0.769059973
beta1_t     5.56302455 0.844031522
beta1_t     4.71271986 0.777646979
beta1_t     4.56443692 0.769615208
beta1_t     4.17355483 0.747596018
beta1_t     2.68984316 0.700271032
beta1_t     3.33184816 0.716461868
beta1_t     2.83164269 0.707124398
beta1_t     4.64284294 0.770832795
beta1_t     4.70809050 0.771838390
beta1_t     5.24860575 0.815667691
beta1_t     6.33236754 0.944928996
logetaE1   -1.35933013 0.113256418
logetaO1   -1.99188879 0.108431135
logkappa1  -4.25995818 0.125903595
beta2_t     7.05969243 0.664003836
beta2_t     8.10877435 0.662304121
beta2_t     7.46806608 0.660779545
beta2_t     8.16195001 0.657442918
beta2_t     7.80559443 0.658739259
beta2_t     7.97239850 0.660427249
beta2_t     7.78579201 0.657080054
beta2_t     7.88424778 0.656884947
beta2_t     7.67889309 0.658255763
beta2_t     7.85700940 0.655904535
beta2_t     7.68532601 0.659680506
beta2_t     7.93237342 0.656087738
beta2_t     7.70304478 0.657771664
beta2_t     7.20842163 0.657287045
beta2_t     7.27959634 0.658113894
beta2_t     7.32074786 0.659807368
beta2_t     7.41754183 0.657210011
beta2_t     7.05633074 0.657147235
beta2_t     7.80365486 0.658181403
beta2_t     7.95638391 0.656702230
beta2_t     7.50237246 0.658166386
beta2_t     8.17816707 0.657124256
beta2_t     7.53415134 0.657954901
beta2_t     7.57335559 0.658138881
beta2_t     6.60166976 0.657268428
beta2_t     6.50824542 0.660381350
beta2_t     6.15739902 0.661074773
beta2_t     5.72852699 0.658390399
beta2_t     6.80075578 0.661695279
beta2_t     7.01754327 0.658702968
beta2_t     6.92031953 0.657589794
beta2_t     7.15496036 0.656718821
beta2_t     8.16458852 0.656195885
logetaE2   -1.45598369 0.030636465
logetaO2   -1.52524825 0.068164150
logkappa2  -4.56729673 0.046209183
logSigmaM   0.11132540 0.006828033
Maximum gradient component: 0.006868201 
