sdreport(.) result
              Estimate  Std. Error
ln_H_input  0.47445863 0.104091220
ln_H_input  0.11864939 0.090366332
beta1_t     0.79489911 0.421110879
beta1_t     1.03164170 0.426368747
beta1_t     0.86177006 0.425473594
beta1_t     0.85304600 0.424822264
beta1_t     0.59943501 0.423330180
beta1_t     0.03870070 0.421727944
beta1_t    -0.64367782 0.442218593
beta1_t    -0.11719125 0.422011128
beta1_t    -0.12870715 0.421799202
beta1_t    -0.03253898 0.422320470
beta1_t     0.38209794 0.422980268
beta1_t     0.42739554 0.426200968
beta1_t     0.38163995 0.428645335
logetaE1   -0.82020620 0.096319364
logetaO1   -1.91098974 0.098782974
logkappa1  -4.31221454 0.114762594
beta2_t     7.19426476 0.159851867
beta2_t     6.95733067 0.166469354
beta2_t     7.09170820 0.165349374
beta2_t     6.91366859 0.163415984
beta2_t     7.08779486 0.167426843
beta2_t     6.90681901 0.165358934
beta2_t     6.67114958 0.209440376
beta2_t     6.76636532 0.168155348
beta2_t     6.78902468 0.169315800
beta2_t     6.63157668 0.169732241
beta2_t     7.14136289 0.167654412
beta2_t     7.06952561 0.172195390
beta2_t     7.05761343 0.179613633
logetaE2   -1.22732740 0.040693640
logetaO2   -0.99450402 0.082701890
logkappa2  -3.62041665 0.086174012
logSigmaM   0.17034793 0.008630764
Maximum gradient component: 0.004714555 
