sdreport(.) result
              Estimate  Std. Error
ln_H_input  0.52100947 0.088687591
ln_H_input  0.12330218 0.078393608
beta2_t     1.07237853 0.279689530
beta2_t     0.79960891 0.272505707
beta2_t     0.74802203 0.272622727
beta2_t     0.97145019 0.273766919
beta2_t     0.82452112 0.272741776
beta2_t     0.75424866 0.272338391
beta2_t     0.78950814 0.272173576
beta2_t     0.57787591 0.271314069
beta2_t     0.41843812 0.271581017
beta2_t     0.40995175 0.271143323
beta2_t     0.51375402 0.271230443
beta2_t     0.69054182 0.273862401
beta2_t     0.67234820 0.274655929
beta2_t     0.79573091 0.275061963
beta2_t     0.75829081 0.274754271
beta2_t     0.64787047 0.274294795
beta2_t     0.30645155 0.274047128
beta2_t     0.64384771 0.274166167
beta2_t     0.61272726 0.274087798
beta2_t     0.82131874 0.272619308
beta2_t     0.62775784 0.271913299
beta2_t     0.70215231 0.272085431
beta2_t     0.60825305 0.271984405
beta2_t     0.52999750 0.272122636
beta2_t     0.65083179 0.270813019
beta2_t     0.80697675 0.271133581
beta2_t     0.86273432 0.271010336
beta2_t     1.23172485 0.271044678
beta2_t     1.11459669 0.272137070
beta2_t     0.99236634 0.271721615
beta2_t     1.46315970 0.271671454
logetaE2   -0.86848862 0.029648407
logetaO2   -1.47172776 0.086595153
logkappa2  -3.94741005 0.054750449
logSigmaM  -0.01531155 0.005169777
Maximum gradient component: 0.009784264 
