sdreport(.) result
              Estimate  Std. Error
ln_H_input -0.07628249  0.19667551
ln_H_input -1.12962669  0.34020988
beta1_t    -1.02023270  2.90439613
beta1_t     0.43389773  2.91108771
beta1_t     0.24685978  2.90916232
beta1_t     0.93016442  2.91315763
beta1_t     0.97018759  2.91667695
beta1_t     1.83767919  2.91989964
beta1_t     2.10855244  2.92715683
beta1_t     2.17491862  2.94588490
beta1_t     1.20036870  2.91786200
beta1_t     1.49211107  2.91444823
beta1_t     1.48752492  2.92426662
beta1_t     1.02685778  2.91863367
beta1_t     2.41324644  2.94071276
beta1_t     0.95084316  2.91459386
beta1_t     2.59501874  2.94136242
beta1_t     1.00110549  2.91852136
logetaE1    3.33965806 10.51635330
logetaO1   -2.63471917  0.26289988
logkappa1  -4.89273860  0.33139669
beta2_t     2.97849903  0.64323972
beta2_t     3.05646155  0.62858477
beta2_t     2.70433332  0.63656209
beta2_t     2.98052352  0.62917087
beta2_t     3.00640024  0.63761358
beta2_t     2.94017412  0.63017095
beta2_t     3.18006210  0.63412720
beta2_t     3.44086568  0.63634982
beta2_t     3.38950274  0.63322359
beta2_t     3.26036864  0.63125891
beta2_t     3.44754604  0.63297857
beta2_t     3.41836391  0.63322872
beta2_t     3.66980362  0.63253606
beta2_t     3.36970926  0.63309232
beta2_t     3.37411811  0.62917384
beta2_t     3.40724809  0.63222029
logetaE2   -0.35600795  0.20057494
logetaO2   -1.82291511  0.13323897
logkappa2  -4.02192883  0.18735165
logSigmaM  -0.12859837  0.02678124
Maximum gradient component: 0.004527347 
