sdreport(.) result
               Estimate  Std. Error
ln_H_input  -0.66596385  0.19009521
ln_H_input   0.04700487  0.24468535
beta1_t     -3.69937147  0.64601640
beta1_t     -3.73433395  0.65076900
beta1_t     -3.71654441  0.64333354
beta1_t     -4.26987325  0.65288656
beta1_t     -3.88995653  0.64433200
beta1_t     -4.21920472  0.65018764
beta1_t     -4.25245019  0.65190567
beta1_t     -3.87039195  0.64362131
beta1_t     -3.99525229  0.64559734
beta1_t     -3.73585326  0.64273958
beta1_t     -3.74354028  0.64946624
beta1_t     -3.29878758  0.63780557
logetaE1     3.33965806 27.97364561
logetaO1    -2.30630319  0.16661502
logkappa1   -4.00060419  0.20535407
logsigmaVT1 -3.59235179 14.37409241
beta2_t      5.60597870  0.37189452
beta2_t      6.16257493  0.40493933
beta2_t      6.07727044  0.36603424
beta2_t      6.87116935  0.41918204
beta2_t      6.13878736  0.35456446
beta2_t      6.45697907  0.40603863
beta2_t      5.77500938  0.40612653
beta2_t      6.05362715  0.36257487
beta2_t      6.11319849  0.39534474
beta2_t      6.22901941  0.40899703
beta2_t      5.76672428  0.39908832
beta2_t      6.51512954  0.34003659
logetaE2    -1.39946798  0.13435155
logetaO2    -1.59366086  0.14383321
logkappa2   -2.58758301  0.33071398
logsigmaVT2 -1.00239023  0.29972799
logSigmaM    0.15835195  0.03567915
Maximum gradient component: 0.0008821874 
