OBJECTID,STRATUMA,Shape_Length,Shape_Area,CenterX,CenterY,AreaSQkm
1,08770,10928.184725194502000,5073593.746683754000000,-77.859643926472330,32.522681414462383,5.073593746683754
2,08770,14561.796626739233000,13319019.310171507000000,-77.829051233096351,32.518449638531841,13.319019310171507
3,08770,9494.222589019764200,3112764.981386916700000,-77.804526214329229,32.523676437628843,3.112764981386917
4,08770,8804.839984594989800,3293055.212185573300000,-77.899452265815043,32.556163407352955,3.293055212185573
5,08770,14326.199437668478000,13366596.294831123000000,-77.870465615222599,32.549716547665781,13.366596294831123
6,08770,14816.000000009313000,13719616.000017248000000,-77.831637081414911,32.551390082578621,13.719616000017249
7,08770,13338.157400391434000,10327151.256094368000000,-77.796736108209416,32.555243949388121,10.327151256094368
8,08770,552.117308111139320,12692.321514232470000,-77.773411829429392,32.570675663773805,0.012692321514232
9,08770,6664.009541223732400,1885909.691899915700000,-77.939282051870407,32.589648412018462,1.885909691899916
10,08770,13963.713661397009000,12650554.399435291000000,-77.911399002901618,32.581749363487134,12.650554399435292
11,08770,14815.999999990687000,13719615.999982752000000,-77.873319901543354,32.582755358278547,13.719615999982752
12,08770,14816.000000001863000,13719616.000003450000000,-77.834055410558790,32.584822381563967,13.719616000003450
13,08770,14815.999999990687000,13719615.999982752000000,-77.794788853001194,32.586875118905944,13.719615999982752
14,08770,10963.170913295973000,5362699.990588456400000,-77.766078530084513,32.592953891642736,5.362699990588457
15,08770,4504.810247934895400,861702.982696883730000,-77.979133766941459,32.623137427826919,0.861702982696884
16,08770,13598.235873579921000,11537034.526066426000000,-77.952019924880275,32.614004480136956,11.537034526066426
17,08770,14816.000000001863000,13719616.000003450000000,-77.915036128898450,32.614102728222619,13.719616000003450
18,08770,14815.999999998137000,13719615.999996550000000,-77.875757009285763,32.616184798388673,13.719615999996551
19,08770,14816.000000009313000,13719616.000017248000000,-77.836475806276155,32.618252578426855,13.719616000017249
20,08770,14815.999999998137000,13719615.999996550000000,-77.797192534046800,32.620306067368581,13.719615999996551
21,08770,14212.960088726497000,13192561.609385751000000,-77.758580204277152,32.622861965274524,13.192561609385752
22,08770,10625.330015007288000,4616995.363063700500000,-77.726581874181562,32.632722903737054,4.616995363063700
23,08770,2328.098479349966100,230080.000190628520000,-78.019007053556436,32.656629414756040,0.230080000190629
24,08770,13229.888698788835000,10016412.939231750000000,-77.992295569127123,32.646418431067815,10.016412939231749
25,08770,14816.000000007451000,13719616.000013798000000,-77.956785786460074,32.645432183391634,13.719616000013799
26,08770,14816.000000003725000,13719616.000006899000000,-77.917492043571087,32.647529310993932,13.719616000006900
27,08770,14816.000000000000000,13719616.000000000000000,-77.878196200425492,32.649612144286166,13.719616000000000
28,08770,14816.000000011176000,13719616.000020698000000,-77.838898271213779,32.651680682291264,13.719616000020698
29,08770,14816.000000000000000,13719616.000000000000000,-77.799598270131014,32.653734924038666,13.719616000000000
30,08770,14816.000000011176000,13719616.000020698000000,-77.760296211376811,32.655774868564315,13.719616000020698
31,08770,14710.941784446535000,13702939.204350866000000,-77.721016528018765,32.657819199279430,13.702939204350866
32,08770,12913.632541126724000,8995741.470518611400000,-77.684899873767662,32.664725793677725,8.995741470518611
33,08770,5955.523733565147300,1398566.385648662200000,-77.655509442204746,32.673887618896124,1.398566385648662
34,08770,132.990384324222300,750.654681108606160,-78.058902565586806,32.690125667921023,0.000750654681109
35,08770,12858.556336959900000,8079000.769259439800000,-78.032062442792409,32.678927785499745,8.079000769259439
36,08770,14815.999999983236000,13719615.999968953000000,-77.998568897189671,32.676743714729461,13.719615999968953
37,08770,14815.999999998137000,13719615.999996550000000,-77.959260536421425,32.678855910337710,13.719615999996551
38,08770,14815.999999994412000,13719615.999989651000000,-77.919950058500817,32.680953807456000,13.719615999989651
39,08770,14815.999999990687000,13719615.999982752000000,-77.880637477631822,32.683037405098702,13.719615999982752
40,08770,14816.000000001863000,13719616.000003450000000,-77.841322808022881,32.685106702286788,13.719616000003450
41,08770,14815.999999990687000,13719615.999982752000000,-77.802006063887120,32.687161698047696,13.719615999982752
42,08770,14816.000000001863000,13719616.000003450000000,-77.762687259442174,32.689202391415428,13.719616000003450
43,08770,14815.999999983236000,13719615.999968953000000,-77.723366408910152,32.691228781430546,13.719615999968953
44,08770,14816.000000001863000,13719616.000003450000000,-77.684043526517641,32.693240867140133,13.719616000003450
45,08770,13947.365554919506000,12625151.005863056000000,-77.646014621216338,32.696264698960483,12.625151005863055
46,08770,10457.933974020927000,4146041.943463123900000,-77.612404146289336,32.707003404302235,4.146041943463124
47,08770,592.373002022253100,12267.528998111718000,-77.586043598455049,32.714646529578928,0.012267528998112
48,08770,11726.775274043081000,5898533.665073031600000,-78.071602670095302,32.711805395940630,5.898533665073032
49,08770,14816.000000009313000,13719616.000017248000000,-78.040385484030338,32.708037313143151,13.719616000017249
50,08770,14815.999999990687000,13719615.999982752000000,-78.001062510824994,32.710164587341161,13.719615999982752
51,08770,14816.000000005588000,13719616.000010349000000,-77.961737403535608,32.712277558871612,13.719616000010349
52,08770,14816.000000001863000,13719616.000003450000000,-77.922410176379444,32.714376226740356,13.719616000003450
53,08770,14815.999999998137000,13719615.999996550000000,-77.883080843578497,32.716460589959780,13.719615999996551
54,08770,14816.000000009313000,13719616.000017248000000,-77.843749419359284,32.718530647548825,13.719616000017249
55,08770,14815.999999998137000,13719615.999996550000000,-77.804415917952909,32.720586398532987,13.719615999996551
56,08770,14816.000000009313000,13719616.000017248000000,-77.765080353595067,32.722627841944295,13.719616000017249
57,08770,14815.999999990687000,13719615.999982752000000,-77.725742740525931,32.724654976821341,13.719615999982752
58,08770,14816.000000009313000,13719616.000017248000000,-77.686403092990162,32.726667802209313,13.719616000017249
59,08770,14815.999999998137000,13719615.999996550000000,-77.647061425236870,32.728666317159949,13.719615999996551
60,08770,14815.999999998137000,13719615.999996550000000,-77.607717751519601,32.730650520731544,13.719615999996551
61,08770,13482.633478191598000,10656956.518082038000000,-77.570740343034586,32.735782177926431,10.656956518082037
62,08770,10117.230190603061000,4256864.524692127500000,-77.534264260731007,32.745060777404333,4.256864524692127
63,08770,4699.056044178998500,512630.106766568610000,-77.502676189543976,32.751226804608606,0.512630106766569
64,08600,4288.746790194390100,953170.105046892190000,-78.120963656830583,32.749980996686688,0.953170105046892
65,08770,7932.054151236870900,2934508.053820773000000,-78.108459710451143,32.743778193039248,2.934508053820773
66,08770,14462.983656271083000,13536074.965144068000000,-78.082010647441010,32.739525897815518,13.536074965144069
67,08770,14816.000000009313000,13719616.000017248000000,-78.042897989751552,32.741455332888513,13.719616000017249
68,08770,14815.999999990687000,13719615.999982752000000,-78.003558258544828,32.743583389431372,13.719615999982752
69,08770,14816.000000005588000,13719616.000010349000000,-77.964216390516995,32.745697138128683,13.719616000010349
70,08770,14816.000000001863000,13719616.000003450000000,-77.924872399903336,32.747796577984303,13.719616000003450
71,08770,14815.999999998137000,13719615.999996550000000,-77.885526300943908,32.749881708008601,13.719615999996551
72,08770,14816.000000009313000,13719616.000017248000000,-77.846178107883276,32.751952527218521,13.719616000017249
73,08770,14815.999999998137000,13719615.999996550000000,-77.806827834970633,32.754009034637583,13.719615999996551
74,08770,14816.000000009313000,13719616.000017248000000,-77.767475496459710,32.756051229295849,13.719616000017249
75,08770,14815.999999990687000,13719615.999982752000000,-77.728121106608810,32.758079110229978,13.719615999982752
76,08770,14816.000000009313000,13719616.000017248000000,-77.688764679680673,32.760092676483197,13.719616000017249
77,08770,14815.999999998137000,13719615.999996550000000,-77.649406229942485,32.762091927105303,13.719615999996551
78,08770,14815.999999998137000,13719615.999996550000000,-77.610045771665952,32.764076861152695,13.719615999996551
79,08770,14816.000000001863000,13719616.000003450000000,-77.570683319127099,32.766047477688346,13.719616000003450
80,08770,14816.000000005588000,13719616.000010349000000,-77.531318886606343,32.768003775781800,13.719616000010349
81,08770,14222.300122323133000,13169400.907531828000000,-77.492599697657099,32.770519819304042,13.169400907531827
82,08770,10539.231425753294000,4906150.169522623500000,-77.461226595606902,32.779144309085865,4.906150169522624
83,08600,7354.028470162005800,2295212.005513689900000,-78.151489033531675,32.778779366180025,2.295212005513690
84,08600,14724.951501260697000,7378501.484839257800000,-78.130544829714736,32.771828258558465,7.378501484839258
85,08770,10030.362493454135000,5557010.315570896500000,-78.113521168676968,32.770800877179205,5.557010315570897
86,08600,6115.496793636204500,290650.242388699260000,-78.094836792796798,32.788372030806542,0.290650242388699
