                      Estimate   Std. Error
ln_H_input       -1.023114e+00 1.964295e-01
ln_H_input       -7.253508e-02 1.929870e-01
beta1_t          -4.026070e+00 6.441213e-01
beta1_t          -4.150583e+00 6.500592e-01
beta1_t          -4.057577e+00 6.408246e-01
beta1_t          -4.612331e+00 6.514777e-01
beta1_t          -4.254679e+00 6.418970e-01
beta1_t          -4.547781e+00 6.469982e-01
beta1_t          -4.618258e+00 6.501857e-01
beta1_t          -4.172468e+00 6.424836e-01
beta1_t          -4.337179e+00 6.448682e-01
beta1_t          -4.016313e+00 6.422151e-01
beta1_t          -4.072690e+00 6.486389e-01
beta1_t          -3.608923e+00 6.366707e-01
logetaE1          2.989745e-01 1.083742e+00
logetaO1         -2.452304e+00 1.616573e-01
logkappa1        -3.804982e+00 2.030006e-01
logsigmaVT1      -3.123142e+00 6.573507e+00
beta2_t           5.415396e+00 3.361336e-01
beta2_t           6.162112e+00 3.536457e-01
beta2_t           5.819524e+00 3.298523e-01
beta2_t           6.665422e+00 3.530843e-01
beta2_t           5.720034e+00 3.412885e-01
beta2_t           6.421931e+00 3.717617e-01
beta2_t           5.726664e+00 3.759107e-01
beta2_t           5.984851e+00 3.321932e-01
beta2_t           6.024349e+00 3.730125e-01
beta2_t           5.797650e+00 3.481766e-01
beta2_t           5.673615e+00 3.659378e-01
beta2_t           6.309701e+00 2.908125e-01
logetaE2         -1.341125e+00 1.166468e-01
logetaO2         -1.586723e+00 1.354874e-01
logkappa2        -2.457280e+00 2.339092e-01
logsigmaVT2      -1.562519e+00 6.687293e-01
logSigmaM         8.887900e-02 3.792037e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -2.387621e-03 5.346989e-02
nu1_vt            9.021389e-03 1.243507e-01
nu1_vt           -5.888619e-03 8.768315e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -8.604953e-04 4.512012e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -6.860848e-04 4.464272e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            4.413778e-03 7.185740e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -3.623891e-03 6.401792e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -1.099144e-02 1.482196e-01
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -1.399923e-03 4.730027e-02
nu1_vt            7.953979e-03 1.115213e-01
nu1_vt            4.460446e-03 7.216448e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            3.750217e-03 6.554069e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -6.055759e-04 4.450118e-02
nu1_vt            8.422890e-03 1.176921e-01
nu1_vt           -1.084471e-02 1.473766e-01
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -3.914890e-03 6.683131e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            2.684148e-03 5.581619e-02
nu1_vt            1.050047e-02 1.423121e-01
nu1_vt           -8.998327e-03 1.239985e-01
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            2.834543e-05 4.378274e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -3.967918e-04 4.406786e-02
nu1_vt            5.307438e-03 8.167272e-02
nu1_vt           -4.083444e-03 6.871104e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            2.207899e-03 5.236554e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -4.091035e-03 6.878127e-02
nu1_vt            3.997155e-03 6.790250e-02
nu1_vt           -1.385641e-03 4.732291e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt           -1.284057e-02 1.713024e-01
nu1_vt            0.000000e+00 4.401863e-02
nu1_vt            8.845947e-03 1.220227e-01
nu1_vt            8.455785e-03 1.175846e-01
nu1_vt           -4.140435e-03 6.893601e-02
